result,material_balance,piece_mobility,control_of_center_small,control_of_center_large
0-1,-5,0,10,10
0-1,-1,36,10,10
0-1,-6,29,-10,-30
0-1,-6,0,-10,-30
1-0,2,0,0,-10
1-0,1,30,10,-20
1-0,7,2,10,0
1-0,8,2,10,10
1-0,1,31,0,10
1-0,3,35,20,30
1-0,-2,1,10,30
1-0,10,12,0,0
1-0,13,0,0,0
0-1,-1,24,10,30
0-1,-6,50,10,50
0-1,-6,29,0,20
1/2-1/2,2,33,0,0
1/2-1/2,1,30,10,10
1/2-1/2,6,17,0,0
1/2-1/2,1,10,0,-10
1-0,15,4,0,0
1-0,17,0,0,20
0-1,4,24,0,10
0-1,-2,32,10,0
0-1,-3,13,-10,0
0-1,-3,38,0,20
0-1,-5,47,10,30
0-1,-15,0,0,20
1-0,1,39,0,10
1-0,11,2,0,10
1-0,-4,45,0,-10
1-0,6,2,0,-20
1-0,3,34,20,20
1-0,3,24,20,20
1-0,5,23,10,20
1-0,9,14,10,30
1-0,9,10,20,40
1-0,1,35,10,20
0-1,3,46,10,20
0-1,-2,6,10,20
0-1,-3,43,0,-20
0-1,-3,15,0,-20
0-1,-6,4,10,-10
1-0,1,10,0,0
1-0,1,8,0,0
1-0,9,7,0,0
1-0,1,10,0,10
0-1,-2,47,10,10
0-1,-6,21,10,0
0-1,-1,33,0,-20
0-1,-2,34,-10,0
1-0,-5,40,-10,-10
1-0,1,27,-10,-10
1-0,3,44,-10,10
1-0,-2,47,10,20
1-0,2,35,0,20
1-0,6,35,-10,10
1-0,3,27,-10,-10
1-0,2,12,0,10
1-0,3,8,0,0
0-1,-2,31,20,20
0-1,-2,33,20,30
0-1,-1,40,0,30
0-1,-4,39,10,0
1-0,1,32,10,0
1-0,4,24,-10,-20
1-0,2,29,10,30
1-0,2,23,10,20
1-0,13,3,0,20
1-0,20,0,0,10
1/2-1/2,3,3,0,20
1/2-1/2,-1,29,10,20
1/2-1/2,-2,31,10,10
1/2-1/2,-1,26,10,-10
1-0,1,40,0,-30
1-0,4,15,0,-20
1-0,4,6,-10,-10
1-0,1,30,20,20
1-0,-7,0,0,0
0-1,-6,4,0,20
0-1,-11,0,10,20
1-0,4,19,0,0
1-0,6,9,-10,0
1-0,17,3,-10,0
1-0,25,0,0,10
1-0,-1,24,0,10
1-0,-1,8,0,0
1-0,-3,2,-10,10
1-0,-3,1,-10,0
0-1,-3,35,0,0
0-1,-5,42,10,0
0-1,-13,40,0,-10
0-1,-13,0,0,-10
1-0,1,38,0,0
0-1,3,37,0,20
0-1,1,44,-20,0
0-1,-4,2,-20,-20
0-1,-2,31,-20,-40
0-1,-2,1,-20,-30
1-0,6,5,-10,-10
1-0,10,23,0,0
1-0,8,18,10,30
1-0,13,7,0,30
1-0,5,28,0,0
1-0,7,25,0,-10
0-1,-4,30,30,30
0-1,-8,40,10,40
0-1,-8,41,10,0
0-1,-3,17,0,-10
0-1,-3,12,0,0
1-0,1,28,10,40
1-0,-5,34,10,10
1-0,-1,3,10,-20
1-0,-5,0,-10,-30
0-1,5,29,10,-10
0-1,-1,39,0,-20
0-1,-2,0,-10,-20
1-0,1,39,-10,-10
1-0,7,29,-20,-30
1-0,6,0,-20,-30
1-0,8,28,20,30
1-0,1,32,10,30
1-0,1,25,-10,-10
1-0,1,4,-20,-30
1-0,4,16,0,0
1-0,3,24,0,20
1-0,11,22,0,10
1-0,-3,35,0,0
1-0,-1,35,0,10
1-0,-7,3,0,10
1-0,-7,0,0,20
0-1,-3,32,10,0
0-1,-5,28,-10,-10
0-1,-1,30,-10,-20
0-1,-5,21,-20,-20
1-0,-1,1,0,-10
1-0,-1,0,0,0
1-0,-2,47,10,30
1-0,-7,4,20,-10
0-1,3,27,10,10
0-1,3,4,10,-10
0-1,5,20,0,10
0-1,1,7,0,0
0-1,-1,6,0,-10
0-1,-1,1,0,-10
0-1,-7,34,10,0
0-1,2,31,0,10
0-1,-4,36,0,10
0-1,-5,0,10,0
1-0,6,36,0,20
1-0,15,28,10,10
1-0,3,33,20,0
1-0,1,38,10,10
1-0,-3,0,0,-20
1-0,1,31,0,-10
1-0,1,27,0,-20
1-0,1,25,0,-20
1-0,1,15,0,-10
1-0,2,8,-10,-10
1-0,9,4,-10,-10
1-0,-2,6,-10,-10
1-0,1,28,-10,0
1-0,6,0,10,20
0-1,-1,30,-20,0
0-1,-2,5,0,0
0-1,-6,21,0,0
0-1,-3,6,0,10
1/2-1/2,1,41,0,10
1/2-1/2,2,16,0,-10
1/2-1/2,8,3,-10,-30
1/2-1/2,5,8,0,-10
1/2-1/2,3,9,10,20
1-0,-1,37,-20,-20
1-0,2,19,-20,-30
1-0,1,13,0,10
1-0,1,5,10,0
1-0,2,6,10,20
1-0,-2,30,20,0
1-0,12,14,20,0
1-0,14,8,20,10
1-0,3,28,0,0
1-0,12,0,0,0
0-1,-4,38,10,30
0-1,-6,2,0,20
0-1,-8,22,-10,10
1-0,-1,38,10,20
1-0,1,36,-10,-20
1-0,-1,4,-20,-30
1-0,-1,24,10,10
1-0,-1,33,0,0
1-0,-1,35,-10,0
1-0,7,14,0,10
1-0,3,8,-10,-10
1-0,3,8,10,10
1-0,12,3,0,20
1-0,12,0,0,20
0-1,6,4,0,-20
0-1,-2,14,0,-10
0-1,-11,32,-10,-10
0-1,-12,3,-30,-30
0-1,-10,38,-10,0
0-1,-11,57,0,-30
0-1,-12,0,0,-30
1-0,3,29,-10,-20
1-0,4,26,0,0
1-0,5,17,-10,-10
1-0,5,12,-10,-10
1-0,15,1,-20,0
1-0,15,0,-20,-10
0-1,4,0,30,30
1-0,3,32,0,0
1-0,4,24,20,0
1-0,3,16,-10,0
1-0,3,16,-10,-10
0-1,1,44,-20,-20
0-1,-1,7,0,-10
0-1,-2,43,0,0
0-1,-3,26,10,20
0-1,-3,34,-10,-20
0-1,-3,34,-10,-20
1-0,9,20,10,10
1-0,3,22,0,-20
1-0,7,10,10,20
1-0,5,2,0,-20
1-0,12,0,0,-10
0-1,3,28,10,30
0-1,3,25,-10,-30
0-1,4,21,0,0
0-1,3,33,0,0
0-1,-1,18,0,-20
0-1,-1,5,0,0
1-0,1,45,10,10
1-0,7,34,20,50
1-0,8,38,20,40
1-0,1,0,0,10
1-0,2,23,-10,0
1-0,8,1,-10,0
1-0,1,36,20,20
1-0,1,43,-10,10
1-0,1,41,-10,10
0-1,-3,41,0,0
0-1,-8,24,0,20
0-1,-7,35,10,10
0-1,-10,26,0,0
0-1,-12,6,0,0
1-0,-1,41,10,10
1-0,1,36,0,-10
1-0,-2,2,0,-20
1-0,1,28,-10,-10
1-0,2,5,-20,-20
1-0,4,29,20,40
1-0,2,29,20,40
1-0,19,11,20,40
0-1,6,39,0,0
0-1,3,43,-10,-10
0-1,1,43,0,10
0-1,-2,1,0,0
0-1,4,34,0,-20
0-1,-1,47,-10,-10
0-1,-3,24,0,10
0-1,-10,28,0,-10
0-1,-12,29,10,20
0-1,-21,0,-10,-10
1-0,3,34,0,30
1-0,-2,25,0,10
1-0,-2,0,-10,0
0-1,3,40,0,20
0-1,3,29,-10,-10
0-1,-1,25,0,-10
0-1,-1,3,-10,-20
0-1,4,33,0,-10
0-1,-1,27,0,-20
1-0,2,37,10,20
1-0,1,41,10,0
1-0,1,41,0,0
1-0,3,26,-10,0
1-0,4,4,-10,10
1-0,11,7,0,0
1-0,19,3,0,20
1-0,19,0,0,10
0-1,2,30,10,20
0-1,4,1,0,0
0-1,-1,1,-10,20
0-1,-1,10,0,20
0-1,-4,9,0,10
0-1,-1,9,0,10
0-1,-8,28,0,-10
0-1,-9,0,0,-10
1-0,2,34,0,30
1-0,12,0,10,10
0-1,1,29,10,40
0-1,-1,38,-10,-20
0-1,1,19,-10,-10
0-1,-1,19,-10,-30
0-1,3,40,10,30
0-1,-1,38,-10,-20
0-1,-8,0,0,-20
0-1,-3,34,0,-10
0-1,3,49,10,-10
0-1,-1,44,-10,-30
0-1,-8,35,0,-10
0-1,-21,18,-10,-10
0-1,3,41,10,10
0-1,1,41,30,0
0-1,-2,38,10,-10
0-1,-11,17,20,0
0-1,-5,23,10,10
0-1,-3,45,20,10
0-1,-3,43,30,30
1-0,3,34,0,-20
1-0,4,21,10,40
1-0,4,33,10,10
1-0,9,0,10,10
1-0,-3,32,-20,-20
1-0,-3,16,0,-10
1-0,1,5,0,-10
1-0,-7,14,0,-20
1-0,-7,13,-10,-20
0-1,-2,29,-10,0
0-1,-5,21,0,-30
0-1,-5,27,0,-30
0-1,1,37,-10,0
1-0,1,41,-10,-30
1-0,7,28,0,-20
1-0,-1,42,10,-10
1-0,-2,42,0,-20
1-0,-3,45,-10,-20
0-1,1,20,10,20
0-1,1,25,10,20
0-1,2,21,10,20
0-1,1,3,10,-10
1-0,9,27,0,20
0-1,2,37,10,-20
0-1,1,43,0,0
0-1,-6,41,0,10
0-1,-6,1,0,10
1-0,3,32,10,20
1-0,3,38,10,20
1-0,2,31,-10,-20
1-0,7,5,10,-10
1-0,4,4,-10,-10
0-1,2,29,0,10
1-0,-1,35,0,-10
1-0,-4,28,-10,0
1-0,-4,18,0,20
1-0,-4,17,-10,-10
1-0,-3,18,-20,0
1-0,-3,26,-10,-10
1-0,1,42,-20,-30
1-0,1,11,-10,-10
1-0,8,4,0,10
1-0,9,6,0,10
1-0,9,1,0,10
1-0,9,0,0,0
1/2-1/2,-3,29,10,10
1/2-1/2,-3,44,-10,-10
1/2-1/2,-7,28,0,10
1/2-1/2,-8,28,0,0
1/2-1/2,-5,17,0,0
1/2-1/2,-5,13,0,10
1/2-1/2,-5,0,0,-10
1-0,-1,42,-10,-30
1-0,6,3,0,10
1-0,3,27,-10,-20
1-0,3,3,0,-10
0-1,1,33,-10,-30
0-1,1,5,0,0
0-1,-1,27,10,10
0-1,-9,3,10,10
1-0,9,25,0,10
0-1,-5,45,10,-10
0-1,-4,34,-10,-20
0-1,-8,42,-10,-20
0-1,-20,0,0,-20
1-0,6,3,0,10
1-0,2,21,0,10
1/2-1/2,-1,34,10,20
1/2-1/2,2,34,10,10
1/2-1/2,-3,16,0,0
1/2-1/2,-3,12,0,0
1/2-1/2,-5,17,0,10
0-1,-2,39,10,0
0-1,3,41,0,0
0-1,3,42,-10,0
0-1,-2,8,10,20
1/2-1/2,-3,45,-10,-20
1/2-1/2,-7,43,10,0
1/2-1/2,-6,2,0,0
0-1,1,36,10,-10
0-1,-2,37,10,10
0-1,-6,0,0,0
0-1,-5,34,0,20
0-1,-5,28,0,20
1-0,1,4,10,10
1-0,10,25,0,-10
1-0,11,16,0,-20
0-1,-2,40,0,10
0-1,-1,22,0,10
0-1,-2,12,10,0
0-1,-2,5,10,0
1/2-1/2,-1,33,-10,10
1/2-1/2,-1,28,0,20
1/2-1/2,-1,19,0,0
1/2-1/2,-1,18,0,0
1-0,-7,27,20,10
0-1,3,50,0,10
0-1,1,44,10,10
0-1,3,26,20,30
1-0,1,20,20,30
1-0,6,45,10,0
1-0,-2,40,0,-10
1-0,10,15,0,0
1/2-1/2,1,33,0,20
1/2-1/2,-1,2,0,0
1/2-1/2,1,25,-10,-20
1/2-1/2,1,10,0,0
1-0,1,2,0,20
1-0,4,29,10,10
1-0,6,1,0,0
1-0,-1,31,-10,0
1-0,1,34,10,20
1-0,-10,46,0,-10
0-1,2,19,0,10
0-1,2,5,0,10
0-1,-2,14,0,0
0-1,-1,26,0,0
0-1,-1,23,0,0
0-1,-1,11,0,-10
0-1,1,4,10,0
0-1,8,28,10,-10
0-1,-3,30,10,20
0-1,-4,43,-10,-10
0-1,-17,0,0,-10
0-1,-7,38,0,20
0-1,-24,0,0,0
0-1,-2,52,0,10
1-0,-1,27,10,20
1-0,1,49,-10,10
1-0,2,24,0,-10
1-0,3,18,0,0
1-0,2,9,0,0
1-0,2,33,20,30
1-0,5,31,0,10
1-0,3,32,10,40
1-0,4,22,0,-10
1-0,12,14,20,30
0-1,-4,27,10,20
0-1,-5,3,-10,-20
1-0,5,46,-10,10
1-0,13,12,-10,20
1-0,3,3,0,30
1-0,2,7,-10,10
1-0,8,28,0,20
1-0,3,35,-10,20
1-0,1,40,10,20
1-0,1,30,10,30
1-0,14,24,20,40
1-0,17,2,10,20
1-0,-1,31,0,-10
1-0,-3,20,0,-10
1-0,-4,22,0,-20
1-0,4,2,0,-10
0-1,-4,24,10,0
0-1,-8,2,10,-10
1-0,5,38,0,0
1-0,1,3,0,10
1-0,5,1,0,0
1-0,8,3,0,0
0-1,3,35,10,30
0-1,2,26,10,20
0-1,-5,22,10,0
0-1,-6,6,10,0
0-1,3,34,0,0
0-1,1,5,10,20
0-1,-2,23,0,10
0-1,-2,5,0,0
0-1,-2,5,0,0
0-1,-1,6,0,0
0-1,-1,28,0,-10
0-1,3,36,20,40
0-1,3,46,10,-10
1-0,-1,1,10,10
0-1,-2,36,0,-10
0-1,-2,45,0,-30
1/2-1/2,3,42,0,0
1/2-1/2,1,33,10,0
1/2-1/2,6,15,0,0
1/2-1/2,8,1,0,10
0-1,-1,39,10,-20
0-1,-2,4,-10,-30
0-1,-2,27,-10,-40
0-1,-2,4,-10,-40
0-1,-1,27,0,0
0-1,3,17,0,20
0-1,-5,6,0,20
1-0,1,1,0,0
1-0,-1,2,10,10
1-0,9,1,10,10
1-0,11,4,10,50
1-0,1,33,20,10
1-0,1,26,10,0
0-1,1,32,10,0
0-1,-20,22,10,20
0-1,-21,0,10,10
1-0,1,0,0,-10
0-1,4,2,-10,-10
0-1,-3,0,0,0
1-0,5,42,10,30
1-0,13,13,10,30
1-0,17,6,10,30
1-0,17,0,10,20
1-0,9,27,-20,-30
1-0,9,27,-10,-30
1-0,9,0,-10,-30
0-1,-1,40,-10,-30
0-1,-5,33,-10,-10
0-1,-7,0,0,-10
1-0,2,35,10,10
1-0,-1,42,-10,10
1-0,-1,24,0,0
1-0,-1,24,-10,-10
1-0,1,21,0,20
1-0,6,4,0,0
0-1,-4,28,-10,-20
1-0,9,20,0,30
1-0,9,1,0,10
0-1,-9,40,0,-10
1-0,1,30,10,10
1-0,10,6,0,0
1-0,3,37,0,0
1-0,6,9,-10,0
1-0,6,6,0,20
1-0,7,7,0,40
1-0,1,35,-10,10
1-0,1,38,10,0
1-0,-1,21,10,30
1-0,2,1,10,20
1-0,-4,8,0,10
1-0,13,36,-10,-20
1-0,11,0,-10,-30
0-1,2,26,0,-10
0-1,6,17,-10,-30
1-0,1,41,0,10
1-0,1,32,-10,0
1-0,3,26,10,0
1-0,5,29,10,0
0-1,-5,41,0,-20
0-1,-5,31,0,-10
0-1,-5,29,0,10
0-1,-8,7,0,0
1-0,2,35,0,10
1-0,4,24,0,10
1-0,12,7,10,0
0-1,-6,34,10,20
0-1,-4,38,10,10
0-1,-1,30,0,0
0-1,-1,6,0,0
1-0,9,21,20,20
1/2-1/2,1,40,20,10
1/2-1/2,4,2,10,20
1/2-1/2,4,2,10,20
0-1,-2,40,10,10
0-1,-2,42,0,0
1-0,2,38,20,20
1-0,2,38,-20,10
1-0,2,30,20,20
1-0,1,12,0,-10
1-0,1,8,-10,10
1-0,2,3,0,10
0-1,-1,39,20,20
0-1,1,29,20,0
0-1,1,30,20,30
0-1,1,0,20,20
0-1,4,30,0,0
0-1,-1,33,0,-20
0-1,-4,24,0,-10
0-1,-11,2,0,-20
0-1,-6,26,10,10
0-1,-3,29,10,0
0-1,-4,33,0,-20
0-1,-4,0,0,-20
0-1,-3,46,-20,0
0-1,-2,28,0,0
0-1,-7,28,0,30
0-1,-1,36,0,20
0-1,-3,0,-10,-20
1-0,5,25,-20,-10
1-0,5,32,0,0
0-1,-4,36,10,20
1-0,4,23,10,0
0-1,9,31,10,-10
0-1,8,35,0,10
0-1,5,4,20,20
0-1,1,8,10,10
0-1,-1,41,-20,-30
1-0,-1,41,-30,-20
1-0,-4,28,-10,-20
1-0,9,23,20,30
1-0,4,23,10,-10
1-0,8,11,10,10
1-0,4,25,-10,-10
1-0,1,17,10,30
1-0,3,5,0,-10
1-0,2,12,0,0
1-0,1,16,0,0
1-0,5,5,-10,-20
1-0,1,35,-20,-30
1-0,1,0,-10,-30
1-0,9,32,-20,0
1-0,9,20,-10,0
1-0,9,6,-10,-10
1-0,21,2,-10,10
1-0,21,0,-10,0
1-0,1,19,10,0
1-0,2,10,-10,0
1-0,5,3,0,-10
1-0,5,3,10,10
1-0,5,0,0,10
1-0,2,31,-10,10
1-0,5,27,0,0
1-0,6,0,0,20
0-1,1,45,20,30
1-0,1,26,10,0
1-0,1,41,10,20
1-0,10,26,10,0
0-1,-5,41,-10,-20
0-1,-8,33,10,0
0-1,-6,38,0,0
0-1,-6,23,-10,-10
0-1,-7,19,0,-20
0-1,-7,23,0,-10
0-1,-15,0,0,0
0-1,-1,31,10,30
0-1,-4,2,10,20
0-1,-19,36,-10,-10
0-1,-27,0,0,0
1-0,-3,32,-10,-10
1-0,-1,26,-10,-10
1-0,-1,32,10,0
1-0,1,29,20,40
1-0,2,44,10,10
1-0,3,36,-10,0
1-0,5,36,-10,-20
1-0,3,36,-20,0
1-0,11,5,0,20
1-0,19,1,0,0
1-0,1,36,20,0
0-1,-6,44,0,0
0-1,-9,0,0,-10
1-0,-2,29,10,30
1-0,1,38,-10,10
1-0,9,16,0,0
1-0,9,30,-10,-20
1-0,3,6,0,10
1-0,-1,36,-10,-20
1-0,4,8,0,0
1-0,12,4,0,0
1-0,12,2,0,20
1-0,12,0,10,10
0-1,-3,44,-20,10
0-1,-11,35,-20,0
0-1,-13,18,-10,10
0-1,1,49,-20,-20
0-1,-2,23,-10,-30
0-1,-21,0,-10,-30
0-1,4,37,0,10
0-1,4,0,0,10
0-1,-8,38,-10,-10
0-1,-6,29,10,-20
0-1,-9,0,0,0
0-1,1,35,-10,-20
0-1,-10,39,0,10
0-1,-11,0,0,10
0-1,-1,37,10,0
0-1,-11,13,10,20
0-1,-1,1,-10,-10
1-0,-1,40,0,0
1-0,1,26,10,30
0-1,-3,49,0,10
0-1,-3,38,0,0
0-1,-4,27,0,-10
1-0,4,34,10,30
0-1,1,33,20,40
0-1,-5,25,0,10
0-1,-6,6,10,-10
1-0,4,26,0,0
1-0,2,4,20,20
1-0,2,25,10,10
1-0,1,0,-10,-10
1-0,4,23,0,-10
1-0,2,23,0,-30
1-0,3,19,0,-20
1-0,-1,33,20,10
1-0,1,29,-10,-20
1-0,2,5,0,0
1-0,2,35,0,-10
1-0,1,5,0,-10
1-0,4,40,-10,-10
1-0,-1,33,0,-10
1/2-1/2,1,4,-10,-10
1/2-1/2,5,26,-10,20
1/2-1/2,5,15,-20,10
1/2-1/2,14,2,0,20
1/2-1/2,4,6,0,20
1/2-1/2,12,35,0,20
1-0,5,19,0,-10
1-0,7,12,0,10
1-0,7,9,0,20
1-0,4,25,20,20
1-0,4,36,20,20
0-1,-3,31,-10,0
0-1,-4,0,10,0
1-0,2,21,-10,-10
1-0,10,3,0,20
1-0,10,3,0,20
1-0,-1,15,0,0
1-0,10,4,-10,-10
0-1,-2,8,20,0
0-1,-2,40,-10,20
0-1,-3,43,0,-10
0-1,-4,1,0,10
0-1,-6,0,0,0
0-1,-3,41,0,10
1-0,6,52,-20,-10
1-0,5,28,0,10
1-0,6,5,0,0
1-0,2,23,-10,-20
1-0,3,19,-10,-10
1-0,6,11,-20,-40
1-0,12,5,0,0
1-0,2,35,-10,-20
1-0,4,29,10,10
1-0,8,13,10,20
1-0,8,13,0,0
0-1,1,40,0,-10
0-1,-4,40,10,-10
0-1,-6,0,-10,-30
1-0,5,52,10,-10
1-0,19,25,0,10
1-0,1,46,20,20
1-0,3,25,0,20
1-0,3,14,-10,-10
1-0,6,20,0,10
0-1,3,4,-10,-20
0-1,-2,0,0,-20
0-1,5,36,10,20
0-1,-3,3,0,20
0-1,-8,26,0,10
0-1,-10,4,0,0
0-1,3,38,10,30
0-1,-6,23,0,20
0-1,-8,3,-10,-10
1-0,8,0,0,-10
0-1,-2,45,0,-10
0-1,-2,26,-20,-30
0-1,-1,24,-30,-50
0-1,-3,16,-20,-20
0-1,-2,9,0,0
0-1,-9,29,-10,-20
0-1,-9,0,0,-10
0-1,2,44,10,10
0-1,2,4,10,10
0-1,-3,41,10,10
0-1,-3,37,10,0
0-1,-3,32,-10,10
0-1,-3,4,-10,10
1-0,4,42,10,0
1-0,4,37,0,10
1-0,5,39,0,50
1-0,17,3,-10,0
1-0,17,0,-10,10
1-0,3,29,10,30
1-0,10,1,10,30
1-0,12,0,10,20
1-0,1,37,0,10
1-0,2,41,-10,-10
1-0,5,25,0,20
1-0,9,14,0,30
1-0,-1,41,10,-10
1-0,-5,4,20,20
1-0,-5,39,10,20
1-0,4,17,0,-20
1-0,6,4,0,0
1-0,6,3,0,10
1-0,6,1,10,0
1-0,6,1,10,0
1-0,1,30,0,0
1-0,4,43,0,0
1-0,5,26,10,10
1-0,6,3,-10,0
1-0,7,0,-20,-30
1-0,3,40,0,-10
1-0,-5,31,-10,-10
1-0,1,16,-20,-10
1-0,2,9,0,0
1-0,1,30,0,40
1-0,3,10,10,0
1-0,3,11,0,0
1-0,3,11,10,20
1-0,3,0,10,30
1-0,1,32,10,10
1-0,3,31,0,10
1-0,5,46,10,10
1-0,1,26,0,20
1-0,2,32,0,0
0-1,-3,37,-10,-30
1-0,1,37,0,30
1-0,1,31,10,30
1-0,3,17,10,0
1-0,2,12,0,0
1-0,2,11,-10,-10
1-0,2,6,10,0
1-0,1,36,0,-30
1-0,5,24,0,-10
1-0,3,8,-10,-20
1-0,1,5,0,-20
1-0,1,2,0,10
1-0,-2,0,10,10
0-1,-8,48,-10,-10
0-1,-6,39,0,10
0-1,-6,0,0,10
0-1,-3,36,0,-20
1-0,8,20,-10,-10
1-0,1,31,0,-10
1-0,5,9,0,0
1-0,6,2,10,0
1-0,-1,41,-10,0
1-0,13,0,-10,0
1/2-1/2,1,38,0,20
1/2-1/2,-5,42,0,0
1/2-1/2,-5,44,0,10
0-1,-1,41,0,-10
0-1,-5,41,-10,10
0-1,-5,0,-10,0
1-0,1,34,10,-10
1-0,3,3,10,30
1-0,3,38,0,0
1-0,9,20,0,0
1-0,20,4,10,10
1-0,20,0,0,0
0-1,1,32,10,10
0-1,2,40,0,-10
0-1,5,0,0,0
1-0,1,26,20,20
1-0,1,23,10,10
1-0,-1,27,10,0
1-0,2,13,0,0
1-0,6,7,10,-10
1-0,9,6,10,0
0-1,-9,28,10,-10
0-1,-1,41,0,0
0-1,-1,36,10,20
0-1,-1,30,10,10
0-1,-8,42,10,20
1-0,3,30,0,-10
1-0,1,25,10,10
1-0,1,29,0,-20
1-0,1,20,0,-10
1-0,3,2,0,10
1-0,9,21,0,20
1-0,9,0,0,0
0-1,2,28,10,20
0-1,1,30,10,10
0-1,-3,3,-10,-30
0-1,-3,24,-10,-20
0-1,3,36,20,20
0-1,-7,42,10,-10
0-1,-10,16,20,10
0-1,4,29,10,20
1-0,19,19,10,10
1-0,24,2,0,0
0-1,5,28,10,20
0-1,7,21,20,30
0-1,6,30,20,20
0-1,5,35,10,20
1-0,2,37,10,0
1-0,7,0,0,-10
0-1,-1,42,0,-10
0-1,-2,25,0,10
0-1,-5,27,0,0
0-1,1,31,20,0
0-1,3,23,10,30
1-0,6,40,0,20
1-0,-5,31,0,10
1-0,-6,32,10,0
1-0,1,38,0,0
1-0,3,27,-10,20
1-0,5,6,10,10
1-0,10,7,-10,0
0-1,-1,15,0,-10
0-1,-2,12,0,-10
0-1,-4,4,0,-10
0-1,1,45,0,0
0-1,-4,44,0,10
0-1,2,30,0,10
1/2-1/2,-1,16,0,0
1/2-1/2,4,4,0,10
0-1,9,2,0,0
0-1,-5,27,10,-10
1-0,1,37,20,20
1-0,1,0,10,0
1-0,1,21,0,-10
1-0,15,3,0,0
0-1,3,32,10,40
0-1,5,35,10,20
0-1,3,27,0,0
0-1,-3,22,0,0
0-1,-14,2,0,0
1-0,-2,30,0,0
1-0,1,22,0,0
1-0,3,9,0,20
1-0,4,14,0,10
1-0,1,40,10,0
1-0,10,3,0,-10
1-0,9,30,0,10
0-1,3,34,10,0
0-1,3,34,10,30
0-1,-1,27,10,30
0-1,-3,16,10,0
0-1,1,38,10,0
0-1,3,44,-10,10
0-1,1,19,-20,0
0-1,-1,17,0,20
0-1,-1,25,0,0
0-1,-1,13,0,0
1-0,-1,30,10,40
1-0,4,35,0,20
1-0,16,0,10,30
1-0,5,28,20,30
1-0,2,31,10,10
1-0,3,22,10,-10
1-0,4,18,0,10
1-0,4,14,10,20
1-0,6,15,0,30
1-0,8,6,0,0
1-0,8,4,0,0
0-1,1,18,10,10
0-1,-2,36,-20,0
0-1,-4,25,-20,-30
0-1,-6,30,10,0
0-1,-4,21,0,-10
0-1,-5,20,0,-10
0-1,-12,38,0,0
0-1,-12,0,0,-10
1-0,-1,39,-10,-10
1-0,-1,39,-20,-20
1-0,-1,29,10,20
1-0,-1,32,10,20
1-0,3,41,0,-20
1-0,-2,43,0,0
1-0,8,0,10,30
1-0,-1,34,0,0
1-0,-3,47,20,30
1-0,-9,40,0,0
0-1,-3,41,-10,-10
0-1,-5,54,-10,-10
0-1,-26,0,-10,0
0-1,-5,33,0,0
0-1,-1,39,-10,-60
0-1,-3,51,-20,-50
0-1,-7,5,-20,-60
1-0,8,35,0,10
1-0,-2,31,-10,-10
1-0,6,10,0,-20
1-0,6,10,0,-20
1-0,3,37,-10,0
1-0,4,37,-10,20
1-0,6,10,0,10
0-1,-1,47,0,-10
0-1,-1,1,-10,0
0-1,-3,43,0,-10
0-1,-7,30,0,-10
0-1,-12,30,0,-10
0-1,-12,1,-10,-20
0-1,-1,40,0,-10
0-1,-3,25,10,0
0-1,-2,3,-10,-30
0-1,-13,40,-10,-30
0-1,-13,0,0,-20
1-0,2,37,10,20
1-0,-7,36,10,20
0-1,-11,29,0,-10
1/2-1/2,2,26,10,0
1/2-1/2,2,5,0,-10
1/2-1/2,3,30,20,30
1/2-1/2,-1,27,0,0
1-0,2,42,-10,0
1-0,6,35,-20,-10
0-1,-2,32,0,10
0-1,2,25,0,10
0-1,2,10,0,10
0-1,2,16,0,10
0-1,1,40,0,20
0-1,1,27,10,0
0-1,-1,22,10,0
0-1,1,4,20,20
0-1,1,38,-10,0
1-0,-1,32,0,0
1-0,-1,42,0,-10
0-1,1,40,0,20
0-1,1,38,10,-20
0-1,-1,34,10,10
0-1,-5,0,30,40
0-1,-5,32,-20,-10
1/2-1/2,1,26,0,10
1/2-1/2,1,20,0,20
1/2-1/2,1,9,0,10
1/2-1/2,1,6,0,10
0-1,3,36,20,10
0-1,-1,32,10,20
0-1,-8,33,0,-20
0-1,-16,16,0,-10
1-0,5,37,10,40
1-0,5,19,10,30
1-0,3,15,10,30
1-0,9,2,0,10
1-0,11,7,0,30
1-0,19,0,10,30
0-1,2,43,0,0
0-1,-2,30,0,0
0-1,-3,22,0,-20
1-0,1,36,10,10
1-0,1,48,10,-20
1-0,6,33,0,-30
1-0,6,49,10,10
0-1,-3,32,10,10
0-1,-16,35,0,-10
0-1,-9,4,0,-20
1-0,7,32,10,20
1-0,9,27,10,-20
1-0,9,43,10,-20
1-0,3,32,10,0
1-0,15,8,-10,-10
1-0,-1,22,0,-20
1-0,3,9,0,0
1-0,2,1,0,0
1-0,17,6,20,10
1-0,18,0,10,20
0-1,1,38,-10,10
0-1,-5,24,-10,-30
0-1,-1,32,10,40
0-1,-2,44,20,20
0-1,-4,37,0,-10
0-1,-4,25,0,-10
0-1,-3,43,0,-10
0-1,-6,35,0,0
0-1,-7,24,0,-10
0-1,-7,4,0,-20
0-1,3,31,20,20
0-1,-8,33,10,10
1-0,3,19,10,20
0-1,1,38,10,0
1/2-1/2,-1,33,0,-10
1/2-1/2,-1,32,0,-20
1/2-1/2,2,3,0,-10
1/2-1/2,2,30,0,-20
